image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
106.png,DRIP,336,336,8,72,1234.0,21773.0,14112,8895,0.05667569926055206,0.13872962338392356
106.png,Fixed,336,336,8,72,698.0,22309.0,14112,8895,0.03128782105876552,0.07847105115233277
106.png,PruneSID,336,336,8,71,2095.0,20716.0,13916,8895,0.10112956169144623,0.23552557616638561
1060.png,DRIP,336,336,40,72,4499.0,43968.0,14112,34355,0.10232441775836973,0.13095619269393102
1060.png,Fixed,336,336,40,72,4656.0,43811.0,14112,34355,0.10627467987491726,0.1355261242904963
1060.png,PruneSID,336,336,40,71,7570.0,40701.0,13916,34355,0.18599051620353307,0.2203463833503129
1061.png,DRIP,336,336,46,72,4680.0,39288.0,14112,29856,0.11912034208918754,0.1567524115755627
1061.png,Fixed,336,336,46,72,3638.0,40330.0,14112,29856,0.09020580213240764,0.12185155412647374
1061.png,PruneSID,336,336,46,71,7008.0,36764.0,13916,29856,0.19062125992819062,0.2347266881028939
1062.png,DRIP,336,336,46,72,4680.0,39288.0,14112,29856,0.11912034208918754,0.1567524115755627
1062.png,Fixed,336,336,46,72,3638.0,40330.0,14112,29856,0.09020580213240764,0.12185155412647374
1062.png,PruneSID,336,336,46,71,7519.0,36253.0,13916,29856,0.20740352522549857,0.25184217577706325
1063.png,DRIP,336,336,15,73,7556.0,33726.0,14308,26974,0.22404079938326513,0.2801215985764069
1063.png,Fixed,336,336,15,72,3588.0,37498.0,14112,26974,0.09568510320550429,0.13301697931341291
1063.png,PruneSID,336,336,15,71,6541.0,34349.0,13916,26974,0.19042766892777083,0.24249277081634166
1064.png,DRIP,336,336,15,73,7556.0,33726.0,14308,26974,0.22404079938326513,0.2801215985764069
1064.png,Fixed,336,336,15,72,3588.0,37498.0,14112,26974,0.09568510320550429,0.13301697931341291
1064.png,PruneSID,336,336,15,71,6862.0,34028.0,13916,26974,0.20165745856353592,0.25439311930006675
1065.png,DRIP,336,336,23,73,3879.0,30965.0,14308,20536,0.12527046665590183,0.18888780677834047
1065.png,Fixed,336,336,23,72,2386.0,32262.0,14112,20536,0.07395697724877565,0.11618620958317101
1065.png,PruneSID,336,336,23,71,5086.0,29366.0,13916,20536,0.17319348906899135,0.24766264121542655
1066.png,DRIP,336,336,23,73,3879.0,30965.0,14308,20536,0.12527046665590183,0.18888780677834047
1066.png,Fixed,336,336,23,72,2386.0,32262.0,14112,20536,0.07395697724877565,0.11618620958317101
1066.png,PruneSID,336,336,23,71,4605.0,29847.0,13916,20536,0.15428686300130667,0.22424035839501363
1067.png,DRIP,336,336,18,72,3137.0,22338.0,14112,11363,0.14043334228668636,0.2760714600017601
1067.png,Fixed,336,336,18,72,1667.0,23808.0,14112,11363,0.0700184811827957,0.1467042154360644
1067.png,PruneSID,336,336,18,71,3399.0,21880.0,13916,11363,0.1553473491773309,0.29912875121006777
1068.png,DRIP,336,336,18,72,3137.0,22338.0,14112,11363,0.14043334228668636,0.2760714600017601
1068.png,Fixed,336,336,18,72,1667.0,23808.0,14112,11363,0.0700184811827957,0.1467042154360644
1068.png,PruneSID,336,336,18,71,3748.0,21531.0,13916,11363,0.17407459012586504,0.329842471178386
1069.png,DRIP,336,336,21,73,2081.0,41926.0,14308,29699,0.04963507131612842,0.0700696993164753
1069.png,Fixed,336,336,21,72,3310.0,40501.0,14112,29699,0.08172637712649071,0.11145156402572477
1069.png,PruneSID,336,336,21,71,5343.0,38272.0,13916,29699,0.13960597826086957,0.17990504730799017
107.png,DRIP,336,336,5,73,1647.0,33822.0,14308,21161,0.04869611495476317,0.0778318604980861
107.png,Fixed,336,336,5,72,2428.0,32845.0,14112,21161,0.07392297153295783,0.11473937904635886
107.png,PruneSID,336,336,5,71,2228.0,32849.0,13916,21161,0.06782550458157022,0.10528802986626341
1070.png,DRIP,336,336,21,73,2081.0,41926.0,14308,29699,0.04963507131612842,0.0700696993164753
1070.png,Fixed,336,336,21,72,3310.0,40501.0,14112,29699,0.08172637712649071,0.11145156402572477
