class_idx,class_name,total,correct,accuracy
540,drilling platform,50,43,0.8600000143051147
541,drum,50,19,0.3799999952316284
542,drumstick,50,22,0.4399999976158142
543,dumbbell,50,25,0.5
544,Dutch oven,50,30,0.6000000238418579
545,electric fan,50,40,0.800000011920929
546,electric guitar,50,35,0.699999988079071
547,electric locomotive,50,43,0.8600000143051147
548,entertainment center,50,44,0.8799999952316284
549,envelope,50,24,0.47999998927116394
550,espresso maker,50,36,0.7200000286102295
551,face powder,50,36,0.7200000286102295
552,feather boa,50,41,0.8199999928474426
553,file,50,38,0.7599999904632568
554,fireboat,50,47,0.9399999976158142
555,fire engine,50,39,0.7799999713897705
556,fire screen,50,24,0.47999998927116394
557,flagpole,50,33,0.6600000262260437
558,flute,50,12,0.23999999463558197
559,folding chair,50,30,0.6000000238418579
560,football helmet,50,44,0.8799999952316284
561,forklift,50,38,0.7599999904632568
562,fountain,50,44,0.8799999952316284
563,fountain pen,50,35,0.699999988079071
564,four-poster,50,38,0.7599999904632568
565,freight car,50,48,0.9599999785423279
566,French horn,50,39,0.7799999713897705
567,frying pan,50,21,0.41999998688697815
568,fur coat,50,40,0.800000011920929
569,garbage truck,50,47,0.9399999976158142
570,gasmask,50,38,0.7599999904632568
571,gas pump,50,42,0.8399999737739563
572,goblet,50,28,0.5600000023841858
573,go-kart,50,43,0.8600000143051147
574,golf ball,50,45,0.8999999761581421
575,golfcart,50,40,0.800000011920929
576,gondola,50,48,0.9599999785423279
577,gong,50,42,0.8399999737739563
578,gown,50,25,0.5
579,grand piano,50,33,0.6600000262260437
580,greenhouse,50,37,0.7400000095367432
581,grille,50,38,0.7599999904632568
582,grocery store,50,30,0.6000000238418579
583,guillotine,50,42,0.8399999737739563
584,hair slide,50,24,0.47999998927116394
585,hair spray,50,12,0.23999999463558197
586,half track,50,36,0.7200000286102295
587,hammer,50,21,0.41999998688697815
588,hamper,50,30,0.6000000238418579
589,hand blower,50,28,0.5600000023841858
590,hand-held computer,50,24,0.47999998927116394
591,handkerchief,50,37,0.7400000095367432
592,hard disc,50,39,0.7799999713897705
593,harmonica,50,28,0.5600000023841858
594,harp,50,45,0.8999999761581421
595,harvester,50,37,0.7400000095367432
596,hatchet,50,9,0.18000000715255737
597,holster,50,35,0.699999988079071
598,home theater,50,32,0.6399999856948853
599,honeycomb,50,36,0.7200000286102295
600,hook,50,11,0.2199999988079071
601,hoopskirt,50,26,0.5199999809265137
602,horizontal bar,50,28,0.5600000023841858
603,horse cart,50,42,0.8399999737739563
604,hourglass,50,44,0.8799999952316284
605,iPod,50,39,0.7799999713897705
606,iron,50,33,0.6600000262260437
607,jack-o'-lantern,50,48,0.9599999785423279
608,jean,50,31,0.6200000047683716
609,jeep,50,37,0.7400000095367432
610,jersey,50,36,0.7200000286102295
611,jigsaw puzzle,50,44,0.8799999952316284
612,jinrikisha,50,46,0.9200000166893005
613,joystick,50,33,0.6600000262260437
614,kimono,50,41,0.8199999928474426
615,knee pad,50,32,0.6399999856948853
616,knot,50,34,0.6800000071525574
617,lab coat,50,42,0.8399999737739563
618,ladle,50,7,0.14000000059604645
619,lampshade,50,23,0.46000000834465027
620,laptop,50,13,0.25999999046325684
621,lawn mower,50,35,0.699999988079071
622,lens cap,50,24,0.47999998927116394
623,letter opener,50,7,0.14000000059604645
624,library,50,25,0.5
625,lifeboat,50,47,0.9399999976158142
626,lighter,50,22,0.4399999976158142
627,limousine,50,35,0.699999988079071
628,liner,50,43,0.8600000143051147
629,lipstick,50,36,0.7200000286102295
630,Loafer,50,37,0.7400000095367432
631,lotion,50,31,0.6200000047683716
632,loudspeaker,50,25,0.5
633,loupe,50,12,0.23999999463558197
634,lumbermill,50,34,0.6800000071525574
635,magnetic compass,50,28,0.5600000023841858
636,mailbag,50,34,0.6800000071525574
637,mailbox,50,38,0.7599999904632568
638,maillot,50,5,0.10000000149011612
639,maillot,50,30,0.6000000238418579
640,manhole cover,50,48,0.9599999785423279
641,maraca,50,31,0.6200000047683716
642,marimba,50,40,0.800000011920929
643,mask,50,21,0.41999998688697815
644,matchstick,50,31,0.6200000047683716
645,maypole,50,47,0.9399999976158142
646,maze,50,39,0.7799999713897705
647,measuring cup,50,33,0.6600000262260437
648,medicine chest,50,25,0.5
649,megalith,50,38,0.7599999904632568
650,microphone,50,20,0.4000000059604645
651,microwave,50,30,0.6000000238418579
652,military uniform,50,30,0.6000000238418579
653,milk can,50,32,0.6399999856948853
654,minibus,50,32,0.6399999856948853
655,miniskirt,50,28,0.5600000023841858
656,minivan,50,19,0.3799999952316284
657,missile,50,23,0.46000000834465027
658,mitten,50,32,0.6399999856948853
659,mixing bowl,50,42,0.8399999737739563
660,mobile home,50,29,0.5799999833106995
661,Model T,50,47,0.9399999976158142
662,modem,50,24,0.47999998927116394
663,monastery,50,19,0.3799999952316284
664,monitor,50,13,0.25999999046325684
665,moped,50,24,0.47999998927116394
666,mortar,50,31,0.6200000047683716
667,mortarboard,50,34,0.6800000071525574
668,mosque,50,44,0.8799999952316284
669,mosquito net,50,45,0.8999999761581421
670,motor scooter,50,42,0.8399999737739563
671,mountain bike,50,37,0.7400000095367432
672,mountain tent,50,46,0.9200000166893005
673,mouse,50,17,0.3400000035762787
674,mousetrap,50,36,0.7200000286102295
675,moving van,50,21,0.41999998688697815
676,muzzle,50,19,0.3799999952316284
677,nail,50,25,0.5
678,neck brace,50,26,0.5199999809265137
679,necklace,50,41,0.8199999928474426
680,nipple,50,35,0.699999988079071
681,notebook,50,16,0.3199999928474426
682,obelisk,50,38,0.7599999904632568
683,oboe,50,30,0.6000000238418579
684,ocarina,50,38,0.7599999904632568
685,odometer,50,48,0.9599999785423279
686,oil filter,50,21,0.41999998688697815
687,organ,50,40,0.800000011920929
688,oscilloscope,50,47,0.9399999976158142
689,overskirt,50,5,0.10000000149011612
690,oxcart,50,37,0.7400000095367432
691,oxygen mask,50,22,0.4399999976158142
